AAPL.O,MSFT.O,AMZN.O,JPM.N,V.N,JNJ.N,WMT.N,BAC.N,BRK_B.N,XOM.N,turnover,transaction_cost,gross_log_return,net_log_return
0.10000131298522129,0.09967032317407963,0.35,3.1729791905381685e-19,0.09999589662049752,0.09999948342627592,0.09999200517341028,4.816763159318138e-21,0.09999970215425487,0.050341276466260514,8.514187742197926e-07,8.514187742197926e-10,0.020782481739848608,0.020782480888429832
0.10000194915561895,0.09967031543556626,0.35000000000000003,3.185580444428222e-19,0.09999582982533096,0.09999927689111975,0.09999199037672357,5.218028330074326e-21,0.09999966301984414,0.050340975295796515,1.2723407952497396e-06,1.2723407952497396e-09,-0.022930005458726397,-0.022930006731067192
0.1000022528712844,0.0996703082695621,0.35,3.1850978857772213e-19,0.09999579698708884,0.09999918432471616,0.0999919805584319,5.299266360473991e-21,0.09999961629616805,0.050340860692748596,6.074313310608371e-07,6.074313310608371e-10,-5.4978369938247354e-05,-5.497897736957841e-05
0.10000260037004141,0.09967029737498559,0.35000000000000003,3.1926107195017303e-19,0.09999578297184454,0.09999907190349563,0.09999196612035074,5.379709396314345e-21,0.09999961591489231,0.050340665344389864,6.949975140183037e-07,6.949975140183038e-10,0.01913187244105003,0.019131871746052517
0.10000333238872262,0.0996702880760577,0.35,3.193286551539873e-19,0.0999957369992678,0.09999881384146155,0.09999195431543843,5.609428245585579e-21,0.09999954932671348,0.050340325052338514,1.464037362487736e-06,1.464037362487736e-09,-0.018570432864313032,-0.018570434328350396
0.10000424784381148,0.09967028630009954,0.3499999999999999,3.163073573540082e-19,0.09999568038866183,0.09999877698650775,0.09999195902005002,6.0574408605333944e-21,0.09999953727146625,0.05033951218940305,1.8403194011196203e-06,1.8403194011196203e-09,0.08722457844102155,0.08722457660070215
0.10000539145936747,0.09967027544607997,0.3499999999999999,3.1024239455719946e-19,0.09999565667131259,0.09999876609497177,0.09999195509470829,1.3024181154386839e-20,0.09999953712504768,0.05033841810851215,2.287231111987322e-06,2.287231111987322e-09,-0.020446651094443685,-0.020446653381674798
0.10000599994393776,0.09967026733174585,0.35000000000000003,3.100961722351041e-19,0.09999560885204346,0.0999985972118428,0.09999194334450925,1.324284879050237e-20,0.0999993797658605,0.05033820355006048,1.2169691404953502e-06,1.2169691404953502e-09,0.01716752993038542,0.01716752871341628
0.10000637010059521,0.09967025563461378,0.35000000000000003,6.65810359914969e-19,0.09999560576081111,0.09999855533721308,0.09999193024690917,8.307618386350028e-19,0.09999935383116214,0.05033792908869551,7.403133150130711e-07,7.403133150130711e-10,-0.004799777399138926,-0.004799778139452241
0.10000679615112221,0.09967025746370764,0.35000000000000003,6.64809968044137e-19,0.09999559208147595,0.09999844034446528,0.09999192042517634,8.311955790111884e-19,0.09999931361232887,0.05033767992172384,8.557592415872632e-07,8.557592415872632e-10,-0.0034825740468739006,-0.0034825749026331423
